name,url,Country,Region,Street,Zip,location,property_amenties,room_features,hotel_style,hotel_class,price,hotel_score_reviews,totalReview,location_score,cleanliness_score,service_score,value_score
Les Bas Rupts Et Chalet Fleuri,https://www.tripadvisor.in/Hotel_Review-g196614-d254885-Reviews-Les_Bas_Rupts_Et_Chalet_Fleuri-Gerardmer_Vosges_Grand_Est.html,France,France Grand Est Vosges Gerardmer,181 route de la Bresse,88400,"181 route de la Bresse, 88400 Gerardmer France",Free_parking Free_High_Speed_Internet_(WiFi) Pool Sauna Bar_lounge Hiking Skiing Pets_Allowed_(_Dog_Pet_Friendly_) ,Air_conditioning Room_service Safe Bottled_water Minibar Flatscreen_TV ,Luxury Romantic ,4,2197.5,4,380,4,4.5,4,3.5
Andaz 5th Avenue,https://www.tripadvisor.in/Hotel_Review-g60763-d1762573-Reviews-Andaz_5th_Avenue-New_York_City_New_York.html,United States,United States New York New York City Manhattan / Murray Hill,485 5th Avenue,10017-6149,"485 5th Avenue, New York City, NY 10017-6149",Valet_parking Free_High_Speed_Internet_(WiFi) Fitness_Center_with_Gym_Workout_Room Bar_lounge Pets_Allowed_(_Dog_Pet_Friendly_) Airport_transportation Business_Center_with_Internet_Access Conference_facilities ,Housekeeping Room_service Safe Wake-up_service_alarm_clock Flatscreen_TV On-demand_movies Complimentary_toiletries ,Green Modern ,4,6367,4.5,3017,5,4.5,4.5,4
THE OMNIA,https://www.tripadvisor.in/Hotel_Review-g188098-d619925-Reviews-THE_OMNIA-Zermatt_Canton_of_Valais_Swiss_Alps.html,Switzerland,Switzerland Swiss Alps Canton of Valais Zermatt,Auf dem Fels,3920,"Auf dem Fels, Zermatt 3920 Switzerland",Free_High_Speed_Internet_(WiFi) Pool Fitness_Center_with_Gym_Workout_Room Free_breakfast Hiking Skiing Airport_transportation Business_Center_with_Internet_Access ,Allergy-free_room Soundproof_rooms Housekeeping Private_balcony Room_service Safe Minibar Flatscreen_TV ,Business Luxury ,5,6816.5,5,959,5,5,5,4.5
The Mira Hong Kong,https://www.tripadvisor.in/Hotel_Review-g294217-d305862-Reviews-The_Mira_Hong_Kong-Hong_Kong.html,China,China Hong Kong Kowloon / Yau Tsim Mong District / Tsim Sha Tsui,"Mira Place, 118-130 Nathan Road, Tsim Sha Tsui, Kowloon",,"Mira Place, 118-130 Nathan Road, Tsim Sha Tsui, Kowloon, Hong Kong China",Valet_parking Free_High_Speed_Internet_(WiFi) Pool Fitness_Center_with_Gym_Workout_Room Bar_lounge Evening_entertainment Nightclub_DJ Taxi_service ,Bathrobes Air_conditioning Desk Housekeeping Room_service Minibar Cable_satellite_TV Bath_shower ,Park_View Centrally_Located ,5,1741,4.5,3798,4.5,4.5,4.5,4
Park Hyatt Tokyo,https://www.tripadvisor.in/Hotel_Review-g14133673-d307368-Reviews-Park_Hyatt_Tokyo-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html,Japan,Japan Kanto Tokyo Prefecture Tokyo Shinjuku Nishishinjuku Shinjuku,3-7-1-2 Nishi Shinjuku,163-1055,"3-7-1-2 Nishi Shinjuku, Nishishinjuku, Shinjuku 163-1055 Tokyo Prefecture",Parking Free_High_Speed_Internet_(WiFi) Pool Fitness_Center_with_Gym_Workout_Room Bar_lounge Evening_entertainment Free_shuttle_or_taxi_services Business_Center_with_Internet_Access ,Air_conditioning Housekeeping Room_service Safe Laptop_safe Minibar Refrigerator Flatscreen_TV ,Great_View Family ,5,8968,4.5,3856,4.5,5,5,4
Park Hotel Tokyo,https://www.tripadvisor.in/Hotel_Review-g1066451-d301657-Reviews-Park_Hotel_Tokyo-Minato_Tokyo_Tokyo_Prefecture_Kanto.html,Japan,Japan Kanto Tokyo Prefecture Tokyo Minato Odaiba / Shiodome / Shinbashi,1 7 1 Higashi Shimbashi Shiodome Media Tower,105-7227,"1 7 1 Higashi Shimbashi Shiodome Media Tower, Minato 105-7227 Tokyo Prefecture",Parking Free_High_Speed_Internet_(WiFi) Fitness_Center_with_Gym_Workout_Room Bar_lounge Airport_transportation Business_Center_with_Internet_Access Conference_facilities Baggage_storage ,Air_conditioning Housekeeping Room_service Safe Minibar Refrigerator Flatscreen_TV Hair_dryer ,Family Great_View ,4,2417,4.5,3819,4.5,4.5,4.5,4
The Lofts Boutique Hotel,https://www.tripadvisor.in/Hotel_Review-g312664-d605763-Reviews-The_Lofts_Boutique_Hotel-Knysna_Western_Cape.html,South Africa,South Africa Western Cape Knysna,"Long Street The Boatshed, Thesen Islands",6570,"Long Street The Boatshed, Thesen Islands, Knysna 6570 South Africa",Free_parking Free_High_Speed_Internet_(WiFi) Pool Bar_lounge Bicycle_rental Baggage_storage Concierge Dry_cleaning ,Air_conditioning Private_balcony Safe Refrigerator Flatscreen_TV ,Trendy Quaint ,4,1665,4.5,528,4.5,4.5,4.5,4
Cape Heritage Hotel,https://www.tripadvisor.in/Hotel_Review-g312659-d309131-Reviews-Cape_Heritage_Hotel-Cape_Town_Central_Western_Cape.html,South Africa,South Africa Western Cape Cape Town Cape Town Central,90 Bree Street,8001,"90 Bree Street, Cape Town Central 8001 South Africa",Paid_public_parking_nearby Free_High_Speed_Internet_(WiFi) Hot_tub Sauna Free_breakfast Bicycle_rental Bicycles_available Kids_stay_free ,Allergy-free_room Blackout_curtains Air_conditioning Desk Coffee_tea_maker Cable_satellite_TV Extra_long_beds Walk-in_shower ,Historic_Hotel Quaint ,4,1887.5,5,1670,4.5,5,5,4.5
The Legian Bali,https://www.tripadvisor.in/Hotel_Review-g469404-d301649-Reviews-The_Legian_Bali-Seminyak_Kuta_District_Bali.html,Indonesia,Indonesia Bali Kuta District Seminyak,Jalan Kayu Aya,80361,"Jalan Kayu Aya, Seminyak 80361 Indonesia",Free_parking Free_High_Speed_Internet_(WiFi) Pool Fitness_Center_with_Gym_Workout_Room Bar_lounge Beach Board_games_puzzles Babysitting ,Blackout_curtains Bathrobes Air_conditioning Private_beach Additional_bathroom Coffee_tea_maker Cable_satellite_TV Walk-in_shower ,Bay_View Ocean_View ,5,6038,5,2035,5,5,5,4.5
Hidden Grove Retreat,https://www.tripadvisor.in/Hotel_Review-g488328-d1762091-Reviews-Hidden_Grove_Retreat-Boyup_Brook_Western_Australia.html,Australia,Australia Western Australia Boyup Brook,174 Chapman Rd,6225,"174 Chapman Rd, Boyup Brook, Western Australia 6225 Australia",Free_parking Free_High_Speed_Internet_(WiFi) Hot_tub Breakfast_in_the_room Bicycles_available Hiking Spa Adults_only ,Air_conditioning Room_service Kitchenette Microwave Refrigerator ,,4.5,1586,5,50,4.5,5,5,5
