username,hotel_name,score
Deden8,Omni Shoreham Hotel,5
Thrr14,Omni Shoreham Hotel,5
Extraordinary338533,Omni Shoreham Hotel,4
ElissaLV,Omni Shoreham Hotel,5
Ron2020,Omni Shoreham Hotel,5
Simone S,Residence Inn Tysons Corner Mall (RENOVATED April 2019),5
Lindi T,Residence Inn Tysons Corner Mall (RENOVATED April 2019),5
Leigh V,Residence Inn Tysons Corner Mall (RENOVATED April 2019),1
ripcordzz,Residence Inn Tysons Corner Mall (RENOVATED April 2019),3
mellyjcam,Residence Inn Tysons Corner Mall (RENOVATED April 2019),5
Corey P,Comfort Suites Inn at Ridgewood Farm,5
Virginia C,Comfort Suites Inn at Ridgewood Farm,5
Diane_1964,Comfort Suites Inn at Ridgewood Farm,5
flyfree,Comfort Suites Inn at Ridgewood Farm,5
kampkintop,Comfort Suites Inn at Ridgewood Farm,2
mmgohoos,Sleep Inn Lynchburg - University Area & Hwy 460,5
breakevenclub,Sleep Inn Lynchburg - University Area & Hwy 460,5
Lennexmom,Sleep Inn Lynchburg - University Area & Hwy 460,2
Jerry M,Sleep Inn Lynchburg - University Area & Hwy 460,4
yankeepotroasts,Sleep Inn Lynchburg - University Area & Hwy 460,5
Anders Christia... A,Hawthorn Suites by Wyndham Vienna/Tysons Corner,5
ceo370,Hawthorn Suites by Wyndham Vienna/Tysons Corner,4
Scotty2908,Hawthorn Suites by Wyndham Vienna/Tysons Corner,4
Vivk,Hawthorn Suites by Wyndham Vienna/Tysons Corner,5
Raymon N,Hawthorn Suites by Wyndham Vienna/Tysons Corner,3
Nancy,Renaissance Atlanta Waverly Hotel & Convention Center,5
Linda W,Renaissance Atlanta Waverly Hotel & Convention Center,3
DonnPearlman,Renaissance Atlanta Waverly Hotel & Convention Center,5
DJA1972,Renaissance Atlanta Waverly Hotel & Convention Center,2
Dana M,Renaissance Atlanta Waverly Hotel & Convention Center,5
AntM008,Courtyard by Marriott Dunn Loring Fairfax,5
Canapinya,Courtyard by Marriott Dunn Loring Fairfax,5
Shetravells5,Courtyard by Marriott Dunn Loring Fairfax,3
Sarahjay192,Courtyard by Marriott Dunn Loring Fairfax,5
diznee_family,Courtyard by Marriott Dunn Loring Fairfax,5
marybravard,Luana Waikiki Hotel & Suites,5
Petlov3r,Luana Waikiki Hotel & Suites,2
GolfLifego,Luana Waikiki Hotel & Suites,2
tgainer42,Luana Waikiki Hotel & Suites,5
Doug B,Luana Waikiki Hotel & Suites,4
Keith,Sheraton Lincoln Harbor Hotel,5
TB1232015,Sheraton Lincoln Harbor Hotel,3
willlovetotravel,Sheraton Lincoln Harbor Hotel,5
Norman S,Sheraton Lincoln Harbor Hotel,3
Gloria S,Sheraton Lincoln Harbor Hotel,3
worldtraveler838,Amsterdam Marriott Hotel,5
fbajwa2016,Amsterdam Marriott Hotel,5
PayitforwardToronto,Amsterdam Marriott Hotel,5
globalocal,Amsterdam Marriott Hotel,3
KRISHAN VEER SAINI,Amsterdam Marriott Hotel,5
SDWashingtonDC,Fairmont The Norfolk,5
Les O,Fairmont The Norfolk,5
Jessica S,Fairmont The Norfolk,4
Michele S,Fairmont The Norfolk,5
tomshiff,Fairmont The Norfolk,4
Ricky & Shaton,Ngorongoro Sopa Lodge,5
Irit Raz-McBride,Ngorongoro Sopa Lodge,5
Marc D,Ngorongoro Sopa Lodge,5
conradik,Ngorongoro Sopa Lodge,5
Claudia K,Ngorongoro Sopa Lodge,4
Murtala_Muhammad,Hotel Schweizerhof Zurich,5
876793i423,Hotel Schweizerhof Zurich,5
Wanderson R Costa,Hotel Schweizerhof Zurich,5
Donna K,Hotel Schweizerhof Zurich,5
Lapinoir,Hotel Schweizerhof Zurich,5
D. J.,Hotel Sacher Salzburg,5
R8991JCroberto,Hotel Sacher Salzburg,5
TripMember050120171,Hotel Sacher Salzburg,5
mad132,Hotel Sacher Salzburg,5
Emma B,Hotel Sacher Salzburg,5
TripMember050120171,Interalpen-Hotel Tyrol,5
lympouridisp,Interalpen-Hotel Tyrol,5
Miguel B,Interalpen-Hotel Tyrol,5
Mustafa R,Interalpen-Hotel Tyrol,5
Richard P,Interalpen-Hotel Tyrol,5
Lyndria,Courtyard by Marriott Chicago Downtown/River North,5
toddnel1021,Courtyard by Marriott Chicago Downtown/River North,3
wsmithhd,Courtyard by Marriott Chicago Downtown/River North,3
allenr589,Courtyard by Marriott Chicago Downtown/River North,3
JHorb,Courtyard by Marriott Chicago Downtown/River North,5
Scott H,Comfort Inn,5
ColumbiaMDPercolate,Comfort Inn,4
Kendee V,Comfort Inn,3
foodgirl13,Comfort Inn,2
Kenny C,Comfort Inn,2
Lisa W,Quality Inn Interstate,5
Buckmeister,Quality Inn Interstate,4
Nixons72,Quality Inn Interstate,5
bob A,Quality Inn Interstate,5
ham444,Quality Inn Interstate,5
mike dy,City Center Inn,3
pstrazz41072,City Center Inn,1
Marty M,City Center Inn,5
bonniegrace,City Center Inn,1
chloelouise040,City Center Inn,5
bert197338,Seahorse Inn & Cottages,2
Eklutna,Seahorse Inn & Cottages,4
MackM,Seahorse Inn & Cottages,2
Charles C,Seahorse Inn & Cottages,4
scottiebilliter,Seahorse Inn & Cottages,3
Lauren P,Red Roof Inn Spartanburg,1
Jennifer Grace P,Red Roof Inn Spartanburg,2
Bay23,Red Roof Inn Spartanburg,2
Rickie D,Red Roof Inn Spartanburg,5
TGP389,Red Roof Inn Spartanburg,2
4givN,Econo Lodge Wytheville I-77 & I-81,1
#32daysofdisney Family,Econo Lodge Wytheville I-77 & I-81,4
givelife000,Econo Lodge Wytheville I-77 & I-81,4
E1447ILkellyp,Econo Lodge Wytheville I-77 & I-81,5
DCHill_12,Econo Lodge Wytheville I-77 & I-81,4
Ira L,Best Western Plus Richmond Hill Inn,5
Shari M,Best Western Plus Richmond Hill Inn,5
Lew L,Best Western Plus Richmond Hill Inn,3
MaureenT7224,Best Western Plus Richmond Hill Inn,4
wbarhydt,Best Western Plus Richmond Hill Inn,5
cindy b,Quality Inn Gaffney I-85,5
julius lee,Quality Inn Gaffney I-85,5
Sightsee51604274649,Quality Inn Gaffney I-85,4
Ricochet_Rabbit_11,Quality Inn Gaffney I-85,4
NYTriper,Quality Inn Gaffney I-85,4
Sarah S,Econo Lodge Chesapeake Route 13 And I-464,1
Dee R,Econo Lodge Chesapeake Route 13 And I-464,1
rogpeck2002,Econo Lodge Chesapeake Route 13 And I-464,3
jotirico,Econo Lodge Chesapeake Route 13 And I-464,1
John Y,Econo Lodge Chesapeake Route 13 And I-464,4
FlGmaTraveler,Park Inn by Radisson Williamsburg Historic,3
cassiem2121,Park Inn by Radisson Williamsburg Historic,5
736shelbyj,Park Inn by Radisson Williamsburg Historic,4
Northumbe,Park Inn by Radisson Williamsburg Historic,3
mrvibbert,Park Inn by Radisson Williamsburg Historic,4
A. Ziehl,Econo Lodge on the Ocean,5
joyxy333,Econo Lodge on the Ocean,5
Patty,Econo Lodge on the Ocean,5
MACKBA,Econo Lodge on the Ocean,5
patcarolsmith,Econo Lodge on the Ocean,5
Tracy,Best Western Hiram Inn & Suites,5
Ken F,Best Western Hiram Inn & Suites,5
jgwisdom,Best Western Hiram Inn & Suites,4
Jpm27530,Best Western Hiram Inn & Suites,4
maybricar,Best Western Hiram Inn & Suites,4
pitapatti,Mark Twain Hotel,4
L & S Wasser,Mark Twain Hotel,4
Kaleb H,Mark Twain Hotel,1
Michael S,Mark Twain Hotel,1
grandmachar380,Mark Twain Hotel,5
jill j,Ramada by Wyndham Albert Lea,1
evangelinafont,Ramada by Wyndham Albert Lea,5
M7972SNmichaeld,Ramada by Wyndham Albert Lea,3
PKK12345,Ramada by Wyndham Albert Lea,5
Patricia C,Ramada by Wyndham Albert Lea,4
Intrepid256,Econo Lodge Custer,2
nyay,Econo Lodge Custer,3
jenk11679,Econo Lodge Custer,3
bellyfl0p,Econo Lodge Custer,4
Kristin J,Econo Lodge Custer,4
klmaestra,Grant Village Lodge,3
Lianne Y,Grant Village Lodge,3
Kathleen B,Grant Village Lodge,4
Fishscales44,Grant Village Lodge,3
tvlandgirl,Grant Village Lodge,3
barthhaiden,Ramada by Wyndham Coeur d'Alene,2
Sellyfish,Ramada by Wyndham Coeur d'Alene,1
fordgirl_72,Ramada by Wyndham Coeur d'Alene,5
Sabrina,Ramada by Wyndham Coeur d'Alene,1
mnmelliott7,Ramada by Wyndham Coeur d'Alene,5
DayTrip54221451568,Days Inn & Suites by Wyndham Vancouver,4
Mr_E917ccr,Days Inn & Suites by Wyndham Vancouver,5
81DaleB,Days Inn & Suites by Wyndham Vancouver,5
Irene C,Days Inn & Suites by Wyndham Vancouver,4
cmaxwell1984cdm,Days Inn & Suites by Wyndham Vancouver,5
Ann BK,Comfort Inn Newport,4
Marietta P,Comfort Inn Newport,5
Tina N,Comfort Inn Newport,1
RedClayRambler,Comfort Inn Newport,5
2017D,Comfort Inn Newport,4
PMahdis,Quality Inn & Suites Redwood Coast,5
ManyRoadsTraveled,Quality Inn & Suites Redwood Coast,5
peggy0808,Quality Inn & Suites Redwood Coast,3
Doug W,Quality Inn & Suites Redwood Coast,5
Deborah D,Quality Inn & Suites Redwood Coast,4
sanfrannie,Stargazer Inn and Suites,5
Greergirl1,Stargazer Inn and Suites,5
Katie T,Stargazer Inn and Suites,5
jim r,Stargazer Inn and Suites,5
Henry D,Stargazer Inn and Suites,5
DanitaJo,Travelodge by Wyndham Chatsworth,3
avillalpand0,Travelodge by Wyndham Chatsworth,5
raynellejones,Travelodge by Wyndham Chatsworth,5
desireecuevas,Travelodge by Wyndham Chatsworth,4
Sara D,Travelodge by Wyndham Chatsworth,1
Mattaria,Route 66 Motel,1
shnpan,Route 66 Motel,4
SusanandJeff65,Route 66 Motel,5
Laurie P,Route 66 Motel,5
Mick G,Route 66 Motel,4
Joyce S,Econo Lodge,2
psh0778,Econo Lodge,1
Coco1231,Econo Lodge,4
willdriveforfood,Econo Lodge,4
Woody L,Econo Lodge,4
Stacy S,EconoLodge Inn & Suites,5
Brett R,EconoLodge Inn & Suites,1
junsuk8028,EconoLodge Inn & Suites,4
BAF,EconoLodge Inn & Suites,2
kerstenconway,EconoLodge Inn & Suites,5
Mike K,Hampton Inn St. Louis Southwest,5
whisox,Hampton Inn St. Louis Southwest,5
Reedsgrandma,Hampton Inn St. Louis Southwest,5
Navigate750816,Hampton Inn St. Louis Southwest,5
Stan E,Hampton Inn St. Louis Southwest,2
Mike C,Andaz Savannah,5
TXMARTINS,Andaz Savannah,5
Anna F,Andaz Savannah,5
KathyStPatrick,Andaz Savannah,5
warrenhebert,Andaz Savannah,5
MMPJMH,Courtyard Oxnard Ventura,5
Stephen N,Courtyard Oxnard Ventura,5
Samboney32,Courtyard Oxnard Ventura,1
espeesh,Courtyard Oxnard Ventura,5
Beachtravel_10,Courtyard Oxnard Ventura,4
Lin Kai,AC Hotel by Marriott Pleasanton,5
Peter,AC Hotel by Marriott Pleasanton,1
Justin R,AC Hotel by Marriott Pleasanton,5
Karina C,AC Hotel by Marriott Pleasanton,5
ChanDaMan,AC Hotel by Marriott Pleasanton,5
Corrie L,Comfort Inn and Suites Lincoln City,4
Irina S,Comfort Inn and Suites Lincoln City,5
Koren C,Comfort Inn and Suites Lincoln City,5
Aaron C,Comfort Inn and Suites Lincoln City,5
Sandy S,Comfort Inn and Suites Lincoln City,5
Wildwoodatheart,Comfort Inn & Suites Ashland,4
jeff b,Comfort Inn & Suites Ashland,5
Sharon C,Comfort Inn & Suites Ashland,5
Thunder4Eva,Comfort Inn & Suites Ashland,2
erisvet,Comfort Inn & Suites Ashland,5
worldtravel2233,La Quinta By Wyndham Portland Airport,4
msittinghorse,La Quinta By Wyndham Portland Airport,5
Hendersoned,La Quinta By Wyndham Portland Airport,4
Rocco M,La Quinta By Wyndham Portland Airport,5
Robert,La Quinta By Wyndham Portland Airport,1
Deb K,The Milestone,4
CarolBob3,The Milestone,5
Tripper4Life,The Milestone,4
xyzsail,The Milestone,4
MariseCaetano,The Milestone,4
Phaleasha G,Garibaldi House Inn & Suites,5
Carole T,Garibaldi House Inn & Suites,5
mcnicolb,Garibaldi House Inn & Suites,5
Janalou M,Garibaldi House Inn & Suites,5
MargaretANurse1979,Garibaldi House Inn & Suites,5
Jon B,Garibaldi Inn at the Bay,4
joethejet,Garibaldi Inn at the Bay,4
Corey D,Garibaldi Inn at the Bay,1
Karen R,Garibaldi Inn at the Bay,4
salli715,Garibaldi Inn at the Bay,5
jwyanzah,DoubleTree by Hilton Hotel Denver,5
lmeK4771CT,DoubleTree by Hilton Hotel Denver,5
danielkeel77,DoubleTree by Hilton Hotel Denver,3
abian12501,DoubleTree by Hilton Hotel Denver,5
bashwarya,DoubleTree by Hilton Hotel Denver,4
basisztakellyjane,La Quinta Inn by Wyndham Ventura,5
neweraepoxycoatings,La Quinta Inn by Wyndham Ventura,1
Laura H,La Quinta Inn by Wyndham Ventura,5
Loliczek,La Quinta Inn by Wyndham Ventura,5
jlboyd69,La Quinta Inn by Wyndham Ventura,5
Al F,Hotel Rosslare,3
brian t,Hotel Rosslare,5
bowman57,Hotel Rosslare,5
BrenMick,Hotel Rosslare,5
Pjh030787,Hotel Rosslare,4
Libran25,Holiday Inn London - Regent's Park,4
Miona123,Holiday Inn London - Regent's Park,4
Isabella Ward,Holiday Inn London - Regent's Park,3
Jessica C,Holiday Inn London - Regent's Park,3
Connor R,Holiday Inn London - Regent's Park,4
Theresa W,Park House Hotel,5
creighc,Park House Hotel,5
Gwen D,Park House Hotel,5
Noel M,Park House Hotel,5
olive d,Park House Hotel,5
